CGD,ORF_ID,KEGG,Gene_Name,UNIPROT,Descripción1,Descripción2
C5_01340W_A,orf19.1934,CAALFM_C501340WA,HST3,-,,NAD-dependent histone deacetylase HST3 (EC 2.3.1.286) (Homologous to SIR2 protein 3) (Regulatory protein SIR2 homolog 3)
C3_06510C_A,orf19.7440,CAALFM_C306510CA,HST6,A0A1D8PKI5,,ATP-binding cassette alpha-factor transporter
CR_03900W_A,orf19.469,CAALFM_CR03900WA,HST7,-,,Serine/threonine-protein kinase STE7 homolog (EC 2.7.12.2)
C4_02010C_A,orf19.4592,CAALFM_C402010CA,HSX11,-,,Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)
C3_03910W_A,orf19.6924,CAALFM_C303910WA,HTA1,-, Histone H2A,Histone H2A.1
C1_04170C_A,orf19.1051,CAALFM_C104170CA,HTA2,-, Putative histone H2A,Histone H2A.2
C3_03280C_A,orf19.327,CAALFM_C303280CA,HTA3,-, Putative histone H2A,Histone H2A.Z
C3_03900C_A,orf19.6925,CAALFM_C303900CA,HTB1,-,,Histone H2B.1
C5_05490C_A,orf19.4051,CAALFM_C505490CA,HTS1,Q5AJX0, Putative tRNA-His synthetase,Histidine--tRNA ligase
C3_06980W_A,orf19.6803,CAALFM_C306980WA,HUT1,-,,UDP-galactose transporter homolog 1
C4_03570W_A,orf19.1321,CAALFM_C403570WA,HWP1,-,,#N/D
C4_03510C_A,orf19.3380,CAALFM_C403510CA,HWP2,-,,Hyphal wall protein 2 (GPI-anchored protein 8)
C6_04580W_A,orf19.2154,CAALFM_C604580WA,HXK1,-, N-acetylglucosamine (GlcNAc) kinase,N-acetylglucosamine kinase 1 (GlcNAc kinase 1) (EC 2.7.1.59) (Hexokinase 1) (EC 2.7.1.1)
CR_04510W_A,orf19.542,CAALFM_CR04510WA,HXK2,-, Hexokinase II,Hexokinase-2 (EC 2.7.1.1) (Cytoplasmic antigenic protein 3) (Hexokinase PII) (Hexokinase-B)
CR_03450W_A,orf19.4384,CAALFM_CR03450WA,HXT5,-,,Hxt5p
C2_04240C_A,orf19.796,CAALFM_C204240CA,HYM1,Q5AHK0,,Hym1p
C1_13450W_A,orf19.4975,CAALFM_C113450WA,HYR1,-,,Hyphally regulated cell wall protein 1 (Adhesin-like protein HYR1)
C5_00730W_A,orf19.575,CAALFM_C500730WA,HYR3,-,,Hyphally regulated cell wall protein 3 (Adhesin-like protein HYR3)
CR_00760C_A,orf19.3279,CAALFM_CR00760CA,HYR4,-,,Cytochrome c oxidase assembly protein COX16, mitochondrial
C5_04740C_A,orf19.3960,CAALFM_C504740CA,HYS2,Q5AK60, Putative DNA polymerase III (delta) subunit with a predicted role in DNA replication and DNA repair,DNA-directed DNA polymerase delta subunit
C2_02990C_A,orf19.5804,CAALFM_C202990CA,HYU1,A0A1D8PGR6, Putative hydantoin utilization protein A,5-oxoprolinase
CR_10780C_A,orf19.7667,CAALFM_CR10780CA,IAH1,-, Protein similar to S. cerevisiae Iah1p, which is involved in acetate metabolism,#N/D
C1_04500W_A,orf19.6844,CAALFM_C104500WA,ICL1,Q59RB8, Isocitrate lyase,Isocitrate lyase
C1_09630W_A,orf19.4826,CAALFM_C109630WA,IDH1,A0A1D8PEM5, Putative mitochondrial NAD-isocitrate dehydrogenase subunit 1,Isocitrate dehydrogenase [NAD] subunit, mitochondrial
C2_03080W_A,orf19.5791,CAALFM_C203080WA,IDH2,A0A1D8PGS5, Putative mitochondrial NAD-isocitrate dehydrogenase subunit,Isocitrate dehydrogenase [NAD] subunit, mitochondrial
C4_02280W_A,orf19.2775,CAALFM_C402280WA,IDI1,-, Protein of unknown function,Isopentenyl-diphosphate delta-isomerase
C2_05890C_A,orf19.5211,CAALFM_C205890CA,IDP1,A0A1D8PHH7, Putative isocitrate dehydrogenase,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
CR_02360W_A,orf19.3733,CAALFM_CR02360WA,IDP2,-, Isocitrate dehydrogenase,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
CR_09780C_A,orf19.7550,CAALFM_CR09780CA,IFA14,-,,Ifa14p
C7_03170W_A,orf19.5138,CAALFM_C703170WA,IFA21,A0A1D8PRA5, IPF family A protein,Ifa21p
C2_04420W_A,orf19.4510,CAALFM_C204420WA,IFA4,A0A1D8PH54,,Ifa4p
C1_01240W_A,orf19.3311,CAALFM_C101240WA,IFD3,Q5A923, Putative aldo/keto reductase,Ifd3p
C1_04140W_A,orf19.1048,CAALFM_C104140WA,IFD6,A0A1D8PD78,,Ifd6p
C1_04750W_A,orf19.769,CAALFM_C104750WA,IFE1,A0A1D8PDC5, Putative medium-chain alcohol dehydrogenase,Putative dehydrogenase
CR_05340C_A,orf19.5288,CAALFM_CR05340CA,IFE2,-,,Ife2p
C3_00600W_A,orf19.5399,CAALFM_C300600WA,IFF11,-,,Cell wall protein IFF11 (Adhesin-like protein IFF11)
CR_03630W_A,orf19.4361,CAALFM_CR03630WA,IFF3,-,,Cell wall protein IFF3 (Adhesin-like protein IFF3)
CR_00610W_A,orf19.7472,CAALFM_CR00610WA,IFF4,-,,Cell wall protein IFF4 (Adhesin-like protein IFF4)
C4_06550C_A,orf19.2879,CAALFM_C406550CA,IFF5,-,,Cell wall protein IFF5 (Adhesin-like protein IFF5)
C2_09130C_A,orf19.4072,CAALFM_C209130CA,IFF6,-,,#N/D
C5_00710W_A,orf19.570,CAALFM_C500710WA,IFF8,-,,Cell wall protein IFF7 (Adhesin-like protein IFF7)
CR_03880W_A,orf19.465,CAALFM_CR03880WA,IFF9,-,,Cell wall protein IFF9 (Adhesin-like protein IFF9)
C5_00450C_A,orf19.944,CAALFM_C500450CA,IFG3,A0A1D8PMX7, Putative D-amino acid oxidase,Ifg3p
C5_02650C_A,orf19.4282,CAALFM_C502650CA,IFH1,-,,Transcriptional regulator IFH1
C1_04060W_A,orf19.4482,CAALFM_C104060WA,IFI3,A0A1D8PD62,,17-beta-hydroxysteroid dehydrogenase-like protein
C2_03620W_A,orf19.856,CAALFM_C203620WA,IFK2,Q5AHE0,,Ifk2p
C7_02940C_A,orf19.5167,CAALFM_C702940CA,IFM1,Q5A5B3,,Translation initiation factor 2
C2_08080C_A,orf19.2176,CAALFM_C208080CA,IFM3,A0A1D8PI81, Protein with a 2-hydroxyacid dehydrogenase catalytic domain,Ifm3p
C2_10180W_A,orf19.1763,CAALFM_C210180WA,IFR1,A0A1D8PIM0,,Ifr1p
CR_03280W_A,orf19.2396,CAALFM_CR03280WA,IFR2,-, Zinc-binding dehydrogenase,Ifr2p
CR_01730W_A,orf19.2568,CAALFM_CR01730WA,IFU5,-, Predicted membrane protein,Ifu5p
C6_03850C_A,orf19.5760,CAALFM_C603850CA,IHD1,-,,Induced during hyphae development protein 1 (GPI-anchored protein 36)
C1_00850W_A,orf19.6021,CAALFM_C100850WA,IHD2,Q5ABE9,,Uncharacterized protein
C6_04520W_A,orf19.2138,CAALFM_C604520WA,ILS1,Q59RI1, Putative isoleucyl-tRNA synthetase, the target of drugs including the cyclic beta-amino acid icofungipen/PLD-118/BAY-10-8888 and mupirocin,Isoleucine--tRNA ligase
C2_06190W_A,orf19.5480,CAALFM_C206190WA,ILV1,Q59P56, Putative threonine dehydratase,Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)
C3_02320W_A,orf19.1613,CAALFM_C302320WA,ILV2,A0A1D8PJF9, Putative acetolactate synthase,Acetolactate synthase (EC 2.2.1.6)
C5_05410C_A,orf19.4040,CAALFM_C505410CA,ILV3,Q5AJY2, Dihydroxyacid dehydratase,Dihydroxy-acid dehydratase
C6_00870C_A,orf19.88,CAALFM_C600870CA,ILV5,A0A1D8PPG7, Ketol-acid reductoisomerase,Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)
C4_01370W_A,orf19.4650,CAALFM_C401370WA,ILV6,A0A1D8PLB7, Putative regulatory subunit of acetolacetate synthase,Acetolactate synthase regulatory subunit
CR_03290C_A,orf19.2395,CAALFM_CR03290CA,IME2,-,,Protein kinase
C4_05020W_A,orf19.3777,CAALFM_C405020WA,IMG2,A0A1D8PM86, Mitochondrial ribosomal protein of the large subunit,Mitochondrial 54S ribosomal protein IMG2
C2_06390C_A,orf19.18,CAALFM_C206390CA,IMH3,-, Inosine monophosphate (IMP) dehydrogenase,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)
C1_02610W_A,orf19.2949,CAALFM_C102610WA,IML1,-,,Vacuolar membrane-associated protein IML1
C1_14210C_A,orf19.7229,CAALFM_C114210CA,IML2,-, Protein of unknown function,#N/D
C1_03610C_A,orf19.3061,CAALFM_C103610CA,IMP1,Q5AHZ1,,Mitochondrial inner membrane protease subunit (EC 3.4.21.-)
C5_00860W_A,orf19.1981,CAALFM_C500860WA,IMP2,A0A1D8PN24,,Mitochondrial inner membrane protease subunit (EC 3.4.21.-)
CR_07950W_A,orf19.603,CAALFM_CR07950WA,IMP4,-, Putative SSU processome component,SnoRNA-binding rRNA-processing protein
CR_02740W_A,orf19.2832,CAALFM_CR02740WA,INN1,-,,Inn1p
CR_10100C_A,orf19.7585,CAALFM_CR10100CA,INO1,-,,#N/D
CR_00050W_A,orf19.7539,CAALFM_CR00050WA,INO2,-,,Ino2p
C2_03840C_A,orf19.837.1,CAALFM_C203840CA,INO4,A0A1D8PH18, Transcription factor,Ino4p
C2_09770C_A,orf19.1373,CAALFM_C209770CA,INP51,A0A1D8PIH6,,Phosphoinositide 5-phosphatase
C5_02470W_A,orf19.4257,CAALFM_C502470WA,INT1,-,,Bud site selection protein BUD4 (Alpha-INT1) (Integrin alpha chain-like protein)
C4_03330W_A,orf19.1439,CAALFM_C403330WA,IPK1,-, Ortholog of S. cerevisiae/S. pombe Ipk1,Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)
C2_09730C_A,orf19.1377,CAALFM_C209730CA,IPK2,Q59YE9, Putative inositol polyphosphate multikinase,Kinase (EC 2.7.-.-)
C6_02320C_A,orf19.3474,CAALFM_C602320CA,IPL1,-,,Spindle assembly checkpoint kinase (EC 2.7.11.1) (Aurora kinase)
C2_08810C_A,orf19.3590,CAALFM_C208810CA,IPP1,-, Putative inorganic pyrophosphatase,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)
C1_09120W_A,orf19.4769,CAALFM_C109120WA,IPT1,A0A1D8PEJ5,,Inositolphosphotransferase
C7_01840W_A,orf19.6536,CAALFM_C701840WA,IQG1,-,,Ras GTPase-activating-like protein IQG1 (Cytokinesis protein 1) (IQGAP-related protein 1)
C1_12450C_A,orf19.5219,CAALFM_C112450CA,IRA2,A0A1D8PFE8, GTPase-activating protein,#N/D
C1_07970C_A,orf19.5068,CAALFM_C107970CA,IRE1,A0A1D8PE76,,Bifunctional endoribonuclease/protein kinase
C3_01360C_A,orf19.1715,CAALFM_C301360CA,IRO1,-,,Transcription factor IRO1 (Iron utilization protein 1)
C1_14230C_A,orf19.7232,CAALFM_C114230CA,IRR1,A0A1D8PFW4, Putative cohesin complex subunit,Irr1p
C3_03660W_A,orf19.6953,CAALFM_C303660WA,IRS4,-,,Increased rDNA silencing protein 4
C6_02520W_A,orf19.5521,CAALFM_C602520WA,ISA1,Q5AC29,,Fe-binding Fe/S cluster assembly protein
C3_06900W_A,orf19.6811,CAALFM_C306900WA,ISA2,Q5ADN0, Protein required for maturation of mitochondrial [4Fe-4S] proteins,Isa2p
CR_05830C_A,orf19.6629,CAALFM_CR05830CA,ISC1,-,,Inositol phosphosphingolipid phospholipase
C1_01650W_A,orf19.3355,CAALFM_C101650WA,ISN1,-, Putative inosine 5'-monophosphate 5'-nucleotidase,IMP-specific 5'-nucleotidase 1 (EC 3.1.3.99)
C3_00540C_A,orf19.5409,CAALFM_C300540CA,IST1,Q5A7Q7,,Ist1p
C1_07520C_A,orf19.2792,CAALFM_C107520CA,IST2,A0A1D8PE41, Protein of unknown function,Ist2p
C7_01760C_A,orf19.6548,CAALFM_C701760CA,ISU1,Q5AGZ0, Protein with similarity to NifU,Iron-sulfur cluster assembly protein
C3_06310C_A,orf19.7401,CAALFM_C306310CA,ISW2,-, Ortholog of S. cerevisiae Isw2,ISWI chromatin-remodeling complex ATPase ISW2 (EC 3.6.4.-)
C7_03530C_A,orf19.6685,CAALFM_C703530CA,ISY1,-,,Pre-mRNA-splicing factor ISY1
C2_04940C_A,orf19.3526,CAALFM_C204940CA,ITR1,A0A1D8PH98,,Myo-inositol transporter
C4_03450C_A,orf19.3371,CAALFM_C403450CA,JAB1,-, Component of the COP9 signalosome (CSN) complex, provides catalytic activity for deneddylation that cleaves the ubiquitin-like protein tag Rub1p off the cullin (Cdc53p) molecule,COP9 signalosome complex subunit 5 (EC 3.4.-.-)
C2_08790W_A,orf19.3592,CAALFM_C208790WA,JEM1,A0A1D8PIB5,,Jem1p
C3_06580W_A,orf19.7447,CAALFM_C306580WA,JEN1,A0A1D8PKH9,,Jen1p
C4_04030W_A,orf19.5307,CAALFM_C404030WA,JEN2,A0A1D8PLY7,,Jen2p
C1_08870C_A,orf19.4746,CAALFM_C108870CA,JIP5,-, Ortholog of S. cerevisiae Jip5,WD repeat-containing protein JIP5
C7_04030C_A,orf19.7177,CAALFM_C704030CA,KAP120,A0A1D8PRI4, Putative karyopherin,Kap120p
C2_01120W_A,orf19.2013,CAALFM_C201120WA,KAR2,A0A1D8PG96, Similar to Hsp70 family chaperones,Hsp70 family ATPase
C2_09370C_A,orf19.564,CAALFM_C209370CA,KAR3,A0A1D8PIH0,,Kinesin-like protein
CR_02330C_A,orf19.3736,CAALFM_CR02330CA,KAR4,-,,Kar4p
C6_01010W_A,orf19.103,CAALFM_C601010WA,KAR5,-,,Nuclear fusion protein KAR5 (Karyogamy protein 5)
C1_13740W_A,orf19.5011,CAALFM_C113740WA,KAR9,Q5AKW6,,#N/D
C7_01620C_A,orf19.6563,CAALFM_C701620CA,KCH1,Q5AGX5,,Kch1p
CR_05260C_A,orf19.1007,CAALFM_CR05260CA,KCS1,-,,Kinase (EC 2.7.-.-)
C1_00140W_A,orf19.6092,CAALFM_C100140WA,KEL1,Q5AB80, Kelch repeat domain-containing protein,Kel1p
C1_13420C_A,orf19.4969,CAALFM_C113420CA,KEM1,A0A1D8PFP3, 5'->3' exoribonuclease of cytoplasmic stress granules,5'-3' exoribonuclease 1 (EC 3.1.13.-)
C1_08990C_A,orf19.4755,CAALFM_C108990CA,KEX2,A0A1D8PEG3, Subtilisin-like protease (proprotein convertase),Kexin
C3_00880W_A,orf19.6165,CAALFM_C300880WA,KGD1,A0A1D8PJ26, Putative 2-oxoglutarate dehydrogenase,Alpha-ketoglutarate dehydrogenase
CR_07420W_A,orf19.6126,CAALFM_CR07420WA,KGD2,-, Putative dihydrolipoamide S-succinyltransferase,Alpha-ketoglutarate dehydrogenase
C2_04760W_A,orf19.191,CAALFM_C204760WA,KIC1,Q59LK7,,Putative serine/threonine protein kinase
CR_00260W_A,orf19.7510,CAALFM_CR00260WA,KIN2,-, Protein with similarity to S. cerevisiae Kin2p, transcription is positively regulated by Tbf1,Non-specific serine/threonine protein kinase (EC 2.7.11.1)
C1_06710W_A,orf19.6239,CAALFM_C106710WA,KIN28,Q5AAS1,,TFIIH complex serine/threonine-protein kinase subunit
C2_10530C_A,orf19.5325,CAALFM_C210530CA,KIN3,Q5A5S5,,Serine/threonine protein kinase
CR_06540W_A,orf19.712,CAALFM_CR06540WA,KIP1,-,,Kinesin-like protein
C2_10310C_A,orf19.1747,CAALFM_C210310CA,KIP2,A0A1D8PIP2,,Kinesin-like protein
C3_05720C_A,orf19.7353,CAALFM_C305720CA,KIP3,A0A1D8PKA4,,Kinesin-like protein
C1_12010C_A,orf19.5265,CAALFM_C112010CA,KIP4,Q5A3K5,,#N/D
C2_09230C_A,orf19.4084,CAALFM_C209230CA,KIS1,Q59X47, Snf1p complex scaffold protein,Kis1p
C1_13610C_A,orf19.4997,CAALFM_C113610CA,KIS2,Q5AKY0, Scaffold protein of Snf1p complex,#N/D
C1_13470W_A,orf19.4979,CAALFM_C113470WA,KNS1,Q5AL00,,Serine/threonine protein kinase
C1_05460W_A,orf19.418,CAALFM_C105460WA,KOG1,Q5A2C3,,Ubiquitin-binding TORC1 subunit
CR_03790C_A,orf19.4377,CAALFM_CR03790CA,KRE1,-,,Protein KRE1
C2_08000C_A,orf19.2183,CAALFM_C208000CA,KRE30,Q5A2T2, YEF3-subfamily ABC family protein,ATP-binding cassette family ATPase
C3_02960C_A,orf19.290,CAALFM_C302960CA,KRE5,A0A1D8PJN6, UDP-glucose:glycoprotein glucosyltransferase,Kre5p
C3_05830W_A,orf19.7363,CAALFM_C305830WA,KRE6,A0A1D8PKB6, Essential beta-1,6-glucan synthase subunit,Beta-glucan synthesis-associated protein
C5_00470C_A,orf19.942,CAALFM_C500470CA,KRE62,Q5A504,,Kre62p
C3_04180W_A,orf19.5861,CAALFM_C304180WA,KRE9,Q5ANN9, Protein of beta-1,6-glucan biosynthesis,Kre9p
C1_11420W_A,orf19.661,CAALFM_C111420WA,KRR1,-, Putative nucleolar protein,#N/D
C3_07410C_A,orf19.6749,CAALFM_C307410CA,KRS1,Q5ADU2, Putative tRNA-Lys synthetase,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase)
C1_07380C_A,orf19.4432,CAALFM_C107380CA,KSP1,Q59WD8,,Putative serine/threonine protein kinase
CR_07380C_A,orf19.6131,CAALFM_CR07380CA,KSR1,-,,3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase)
C2_05620W_A,orf19.6873.1,CAALFM_C205620WA,KTI11,A0A1D8PHF7,,Kti11p
CR_03370C_A,orf19.2385,CAALFM_CR03370CA,KTI12,-, Protein similar to S. cerevisiae Kti12p, which associates with Elongator complex,Kti12p
C2_04560W_A,orf19.4494,CAALFM_C204560WA,KTR2,A0A1D8PH51,,Mannosyltransferase
C1_04000C_A,orf19.4475,CAALFM_C104000CA,KTR4,Q59QH4,,Putative mannosyltransferase
C4_02290W_A,orf19.2774,CAALFM_C402290WA,LAB5,-, Protein of unknown function,Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)
C3_05730C_A,orf19.7354,CAALFM_C305730CA,LAC1,A0A1D8PKA5,,Lac1p
CR_01060W_A,orf19.3249,CAALFM_CR01060WA,LAG1,-, Putative ceramide synthase component,Sphingosine N-acyltransferase
CR_04480C_A,orf19.539,CAALFM_CR04480CA,LAP3,-,,Cysteine proteinase 1, mitochondrial (EC 3.4.22.40)
C5_03590W_A,orf19.6671,CAALFM_C503590WA,LAP4,A0A1D8PNQ9, Protein similar to aminopeptidase I,Lap4p
C3_02170C_A,orf19.1628,CAALFM_C302170CA,LAP41,A0A1D8PJE0, Putative aminopeptidase yscI precursor,Metalloaminopeptidase
C2_06000W_A,orf19.4120,CAALFM_C206000WA,LAS1,A0A1D8PHK8,,rRNA-processing protein
C7_01640W_A,orf19.6561,CAALFM_C701640WA,LAT1,Q5AGX8, Putative dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex,Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)
C1_13900C_A,orf19.5027,CAALFM_C113900CA,LCB2,Q5AKV0, Putative serine palmitoyltransferase component,Serine C-palmitoyltransferase
C1_12080W_A,orf19.5257,CAALFM_C112080WA,LCB4,Q5A3L3,,#N/D
C7_02270W_A,orf19.6486,CAALFM_C702270WA,LDG3,A0A1D8PR06,,Ldg3p
C4_05750C_A,orf19.1260,CAALFM_C405750CA,LEA1,-, Predicted component of U2 snRNP,U2 small nuclear ribonucleoprotein A' (U2 snRNP A')
C2_05110W_A,orf19.3542,CAALFM_C205110WA,LEM3,A0A1D8PHB8, Putative membrane protein,Lem3p
CR_00360C_A,orf19.7498,CAALFM_CR00360CA,LEU1,-, 3-isopropylmalate dehydratase,3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (Isopropylmalate isomerase)
C7_00400W_A,orf19.7080,CAALFM_C700400WA,LEU2,A0A1D8PQK5, Isopropyl malate dehydrogenase,3-isopropylmalate dehydrogenase (EC 1.1.1.85)
C5_02180C_A,orf19.4225,CAALFM_C502180CA,LEU3,A0A1D8PND3, Zn(II)2Cys6 transcription factor,Leucine-responsive transcriptional regulator
C1_00170W_A,orf19.6086,CAALFM_C100170WA,LEU4,Q5AB86, Putative 2-isopropylmalate synthase,Uncharacterized protein
C2_09750W_A,orf19.1375,CAALFM_C209750WA,LEU42,A0A1D8PIF8, Putative alpha-isopropylmalate synthase,Leu42p
C2_00150W_A,orf19.2117,CAALFM_C200150WA,LEU5,A0A1D8PG00,,Uncharacterized protein
C1_07500C_A,orf19.2795,CAALFM_C107500CA,LHP1,A0A1D8PE36, Protein of unknown function,Lhp1p
C2_02760W_A,orf19.5830,CAALFM_C202760WA,LHS1,A0A1D8PGU0, Protein similar to S. cerevisiae Hsp70p,Hsp70 family chaperone
C7_02060W_A,orf19.6511,CAALFM_C702060WA,LIG1,-, tRNA ligase,tRNA ligase (EC 6.5.1.3)
C2_03030W_A,orf19.5798,CAALFM_C203030WA,LIG4,-,,DNA ligase 4 (CaLIG4) (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)
C1_09580C_A,orf19.4821,CAALFM_C109580CA,LIP1,A0A1D8PER6,,Lip1p
C1_09590C_A,orf19.4822,CAALFM_C109590CA,LIP10,-,,Lipase 10 (EC 3.1.1.3)
C1_09420W_A,orf19.4804,CAALFM_C109420WA,LIP2,Q5APG1,,Lip2p
C1_09900W_A,orf19.4856,CAALFM_C109900WA,LIP3,A0A1D8PEQ3,,Lip3p
C6_04490W_A,orf19.2133,CAALFM_C604490WA,LIP4,-,,Lipase 4 (EC 3.1.1.3)
C7_02830C_A,orf19.5179,CAALFM_C702830CA,LIP5,-,,Lipase 5 (EC 3.1.1.3)
C1_09600C_A,orf19.4823,CAALFM_C109600CA,LIP6,-,,Lipase 6 (EC 3.1.1.3)
CR_09220C_A,orf19.7320,CAALFM_CR09220CA,LIP7,-,,Lipase 7 (EC 3.1.1.3)
C7_03300C_A,orf19.1345,CAALFM_C703300CA,LIP8,-,,Lipase 8 (EC 3.1.1.3)
C7_02880C_A,orf19.5172,CAALFM_C702880CA,LIP9,-,,Lipase 9 (EC 3.1.1.3)
C1_10490W_A,orf19.992,CAALFM_C110490WA,LKH1,-, Putative leukotriene A(4) hydrolase,Leucine aminopeptidase 2 (EC 3.4.11.-) (Epoxide hydrolase) (EC 3.3.2.10) (Leukotriene A-4 hydrolase homolog) (LTA-4 hydrolase)
C7_03080W_A,orf19.5147,CAALFM_C703080WA,LMO1,A0A1D8PR98, Protein involved together with Dck1p and Rac1p in invasive filamentous growth and cell wall integrity,Lmo1p
CR_07400C_A,orf19.6127,CAALFM_CR07400CA,LPD1,-, Putative dihydrolipoamide dehydrogenase,Dihydrolipoyl dehydrogenase (EC 1.8.1.4)
C1_04740W_A,orf19.771,CAALFM_C104740WA,LPG20,A0A1D8PDE2, Aldo-keto reductase family protein,Aldo-keto reductase superfamily protein
C7_01780W_A,orf19.6544,CAALFM_C701780WA,LPI9,A0A1D8PQX8, Protein phosphatase type 1 regulator,Protein phosphatase regulator
C2_07480W_A,orf19.1881,CAALFM_C207480WA,LPT1,A0A1D8PHX1, Lysophospholipid acyltransferase, involved in phospholipid remodeling,Lysophospholipid acyltransferase
C1_00870W_A,orf19.6018,CAALFM_C100870WA,LRO1,A0A1D8PCB0, Acyltransferase that catalyzes diacylglycerol esterification of phospholipids,Ribosomal 40S subunit protein S17B
C1_01690C_A,orf19.3358,CAALFM_C101690CA,LSC1,Q5A8X6, Putative succinate-CoA ligase subunit,Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
CR_06760C_A,orf19.1860,CAALFM_CR06760CA,LSC2,-, Putative succinate-CoA ligase beta subunit,Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)
C7_02510W_A,orf19.6458.1,CAALFM_C702510WA,LSM4,A0A1D8PR50, Protein of unknown function,U6 snRNA-associated Sm-like protein LSm4
CR_00240W_A,orf19.7509.2,CAALFM_CR00240WA,LSM6,-, Putative Lsm protein,U4/U6-U5 snRNP complex subunit
C5_02810W_A,orf19.4305.1,CAALFM_C502810WA,LSM8,A0A1D8PNJ9,,U6 snRNA-associated Sm-like protein LSm8
C2_06730W_A,orf19.3149,CAALFM_C206730WA,LSP1,Q59KV8, Eisosome component with a predicted role in endocytosis,Lipid-binding protein
C2_06860W_A,orf19.2238,CAALFM_C206860WA,LTE1,A0A1D8PHR4,,Mitotic regulator
C1_08260C_A,orf19.5104,CAALFM_C108260CA,LTP1,A0A1D8PE91, Putative protein phosphatase of the PTP family (tyrosine-specific), similar to <i>S. cerevisiae</i> Ltp1p,Tyrosine protein phosphatase
CR_10650W_A,orf19.7650,CAALFM_CR10650WA,LTV1,-,,#N/D
CR_05020W_A,orf19.651,CAALFM_CR05020WA,LYP1,-,,Lyp1p
C4_05320W_A,orf19.1789.1,CAALFM_C405320WA,LYS1,-, Saccharopine dehydrogenase (biosynthetic),Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)
CR_01400W_A,orf19.2525,CAALFM_CR01400WA,LYS12,-, Homoisocitrate dehydrogenase,Homoisocitrate dehydrogenase
C6_02750C_A,orf19.5548,CAALFM_C602750CA,LYS14,Q5AC02,,Lys14p
C1_09200W_A,orf19.4778,CAALFM_C109200WA,LYS142,A0A1D8PEH6,,Lys142p
C1_09180W_A,orf19.4776,CAALFM_C109180WA,LYS143,A0A1D8PEI7,,Lys143p
C3_00750W_A,orf19.5380,CAALFM_C300750WA,LYS144,A0A1D8PJ02,,Lys144p
C1_02820W_A,orf19.2970,CAALFM_C102820WA,LYS2,A0A1D8PCV7, Heterodimeric alpha-aminoadipate reductase large subunit,L-aminoadipate-semialdehyde dehydrogenase
C1_04730C_A,orf19.772,CAALFM_C104730CA,LYS21,Q59VG1, Homocitrate synthase,Homocitrate synthase
C2_04460W_A,orf19.4506,CAALFM_C204460WA,LYS22,Q59TC4, Putative homocitrate synthase,Lys22p
C4_04410C_A,orf19.3846,CAALFM_C404410CA,LYS4,-, Homoaconitase,Homoaconitase, mitochondrial (EC 4.2.1.36) (Homoaconitate hydratase)
CR_04890W_A,orf19.6304,CAALFM_CR04890WA,LYS5,-, Phosphopantetheinyl transferase,Holo-[acyl-carrier-protein] synthase
C3_06590W_A,orf19.7448,CAALFM_C306590WA,LYS9,A0A1D8PKJ4, Saccharopine dehydrogenase,Saccharopine dehydrogenase (NADP+, L-glutamate-forming)
C7_00510W_A,orf19.7068,CAALFM_C700510WA,MAC1,-,,Metal-binding activator 1
C1_04080W_A,orf19.1040,CAALFM_C104080WA,MAD2,-,,Spindle assembly checkpoint component MAD2
C6_01670W_A,orf19.3419,CAALFM_C601670WA,MAE1,Q5A4M2, Malic enzyme, mitochondrial,Malate dehydrogenase (Oxaloacetate-decarboxylating)
